last seen position,churned_trial_users,churned_paid_users,active_paid_users
Udacity Professional Profile Review::Recruitment Data::845,,,
Deep Learning::Deep Learning::845,1,,
LinkedIn Profile Review::Your Professional Profile Picture::845,,1,1
Udacity Professional Profile Review::Skills::846,,,
LinkedIn Profile Review::Overview of LinkedIn Sections::846,,,
LinkedIn Profile Review::Professional Headline::846,,,
Deep Learning::What You'll Watch and Learn::846,,,
Deep Learning::Deep Learning What You'll Do::847,,,
LinkedIn Profile Review::Your Professional Headline::847,1,,2
Udacity Professional Profile Review::Projects::847,,,1
LinkedIn Profile Review::The Strategic LinkedIn Mindset::847,,,
Deep Learning::TensorFlow::848,1,,2
Udacity Professional Profile Review::Experience::848,,1,6
LinkedIn Profile Review::3 R's Activity::848,,,
LinkedIn Profile Review::Summary Section::848,,,1
Technical Interview Practice::Course Introduction::849,6,,1
LinkedIn Profile Review::Your Summary Section::849,,,1
LinkedIn Profile Review::Professional Profile Picture::849,,,
Deep Learning::Assignments::849,,,1
Deep Learning::What is Deep Learning?::850,1,,
Technical Interview Practice::Course Outline::850,,,
LinkedIn Profile Review::Experience Section::850,1,,
LinkedIn Profile Review::Your Professional Profile Picture::850,,1,1
LinkedIn Profile Review::Your Experience Section::851,1,,1
Deep Learning::Course Overview::851,1,,
Technical Interview Practice::Course Expectations::851,,,
LinkedIn Profile Review::Professional Headline::851,,,
LinkedIn Profile Review::Projects Section::852,,,
Deep Learning::Solving Problems - Big and Small::852,,,
Technical Interview Practice::Syntax::852,,,
LinkedIn Profile Review::Your Professional Headline::852,1,,2
Deep Learning::Let's Get Started!::853,,,
LinkedIn Profile Review::Summary Section::853,,,1
Technical Interview Practice::Python Practice::853,3,,3
LinkedIn Profile Review::Your Projects Section::853,,,
LinkedIn Profile Review::Courses Section::854,,,
LinkedIn Profile Review::Your Summary Section::854,,,1
Technical Interview Practice::Efficiency::854,1,1,1
Deep Learning::Supervised Classification::854,1,,
Technical Interview Practice::Notation Intro::855,,,1
Deep Learning::Classification For Detection::855,1,,
LinkedIn Profile Review::Experience Section::855,1,,
LinkedIn Profile Review::Your Courses Section::855,,,
Technical Interview Practice::Notation Continued::856,,,
Deep Learning::Classification For Ranking::856,,,
LinkedIn Profile Review::Your Experience Section::856,1,,1
LinkedIn Profile Review::Education Section::856,,,
Technical Interview Practice::Worst Case and Approximation::857,,,
LinkedIn Profile Review::Projects Section::857,,,
LinkedIn Profile Review::Your Education Section::857,1,,
Deep Learning::Let's make a deal::857,,,
Technical Interview Practice::Efficiency Practice::858,1,1,
Deep Learning::Training Your Logistic Classifier::858,,,
LinkedIn Profile Review::Skills Section::858,,,
LinkedIn Profile Review::Your Projects Section::858,,,
LinkedIn Profile Review::Courses Section::859,,,
Deep Learning::Softmax::859,1,,2
Technical Interview Practice::Welcome to Collections::859,1,,
LinkedIn Profile Review::Your Skills Section::859,,,2
Technical Interview Practice::Lists::860,1,,
LinkedIn Profile Review::Your Courses Section::860,,,
"LinkedIn Profile Review::Groups, Companies, and Causes Section::860",,,
Deep Learning::Softmax Quiz Part 2::860,,,
Technical Interview Practice::Arrays::861,,,
Deep Learning::Softmax Quiz Part 3::861,,,
"LinkedIn Profile Review::Your  Groups, Companies & Causes section::861",,,1
LinkedIn Profile Review::Education Section::861,,,
LinkedIn Profile Review::Get Connected::862,,,
LinkedIn Profile Review::Your Education Section::862,1,,
Deep Learning::One-Hot Encoding::862,,,
Technical Interview Practice::Python Lists::862,,,
LinkedIn Profile Review::Conclusion::863,,,1
LinkedIn Profile Review::Skills Section::863,,,
Technical Interview Practice::Linked Lists::863,,,
Deep Learning::One-Hot Encoding Quiz::863,,,
LinkedIn Profile Review::LinkedIn Review - Project Overview::864,,,2
LinkedIn Profile Review::Your Skills Section::864,,,2
Deep Learning::Cross Entropy::864,,,
Technical Interview Practice::Linked Lists in Depth::864,1,,
"LinkedIn Profile Review::Groups, Companies, and Causes Section::865",,,
LinkedIn Profile Review::LinkedIn Review - Project Details::865,1,2,5
Deep Learning::Minimizing Cross Entropy::865,,,
Technical Interview Practice::Linked List Practice::865,,1,3
Technical Interview Practice::Stacks::866,,,
"LinkedIn Profile Review::Your  Groups, Companies & Causes section::866",,,1
Deep Learning::Deep Learning::866,1,,
Deep Learning::Transition into Practical Aspects of Learning::866,,,
Technical Interview Practice::Stacks Details::867,,,
LinkedIn Profile Review::Get Connected::867,,,
Deep Learning::Numerical Stability::867,,,
Deep Learning::What You'll Watch and Learn::867,,,
Technical Interview Practice::Stack Practice::868,,,1
Deep Learning::Normalized Inputs and Initial Weights::868,,,1
Deep Learning::Deep Learning What You'll Do::868,,,
LinkedIn Profile Review::Conclusion::868,,,1
LinkedIn Profile Review::LinkedIn Review - Project Overview::869,,,2
Technical Interview Practice::Queues::869,,,1
Deep Learning::TensorFlow::869,1,,2
Deep Learning::Lather. Rinse. Repeat.::869,,,
Deep Learning::Assignment 1: notMNIST::870,,,1
LinkedIn Profile Review::LinkedIn Review - Project Details::870,1,2,5
Deep Learning::Assignments::870,,,1
Technical Interview Practice::Queue Practice::870,,,
Technical Interview Practice::Binary Search::871,4,1,
Deep Learning::Measuring Performance::871,,,
Machine Learning Specializations::Specializations::871,1,,3
Deep Learning::What is Deep Learning?::871,1,,
Deep Learning::Transition: Overfitting -> Dataset Size::872,,,
Deep Learning::Course Overview::872,1,,
Machine Learning Specializations::Specializations: What You'll Watch::872,,,
Technical Interview Practice::Efficiency of Binary Search::872,,,
Machine Learning Specializations::Specializations: What You'll Do::873,3,2,4
Technical Interview Practice::Binary Search Practice::873,,,2
Deep Learning::Kaggle Challenge - Higgs Boson Machine Learning Challenge::873,,,
Deep Learning::Solving Problems - Big and Small::873,,,
Deep Learning::Let's Get Started!::874,,,
Technical Interview Practice::Recursion::874,,,1
Machine Learning Specializations::Specializations: Before You Begin::874,1,2,24
Deep Learning::Validation and Test Set Size::874,,,
Deep Learning::Supervised Classification::875,1,,
Technical Interview Practice::Recursion Practice::875,,,
Capstone Proposal::Overview::875,2,1,11
Deep Learning::Validation Set Size::875,,,
Technical Interview Practice::Intro to Sorting::876,1,,
Capstone Proposal::Description::876,1,1,17
Deep Learning::Validation Test Set Size Continued::876,,,
Deep Learning::Classification For Detection::876,1,,
Deep Learning::Classification For Ranking::877,,,
Deep Learning::Optimizing a Logistic Classifier::877,,,
Technical Interview Practice::Bubble Sort::877,,,
Capstone Proposal::Software and Data Requirements::877,,,4
Deep Learning::Stochastic Gradient Descent::878,,,
Capstone Proposal::Proposal Guidelines::878,,,19
Deep Learning::Let's make a deal::878,,,
Technical Interview Practice::Efficiency of Bubble Sort::878,,,
Deep Learning::Momentum and Learning Rate Decay::879,1,,
Capstone Proposal::Submitting the Project::879,1,1,40
Technical Interview Practice::Bubble Sort Practice::879,,,1
Deep Learning::Training Your Logistic Classifier::879,,,
Deep Learning::Softmax::880,1,,2
Capstone Project::Overview::880,2,5,7
Deep Learning::Parameter Hyperspace! ::880,,,
Technical Interview Practice::Merge Sort::880,,,
Deep Learning::Softmax Quiz Part 2::881,,,
Capstone Project::Description::881,7,21,57
Deep Learning::Assignment 1: notMNIST::881,,,1
Technical Interview Practice::Efficiency of Merge Sort::881,,,
Technical Interview Practice::Merge Sort Practice::882,,,
Deep Learning::Getting Started with notMNIST::882,,,
Capstone Project::Software and Data Requirements::882,2,,8
Deep Learning::Softmax Quiz Part 3::882,,,
Technical Interview Practice::Quick Sort::883,,,1
Capstone Project::Report Guidelines::883,3,2,23
Deep Learning::Problem 1: Display some images::883,,,
Deep Learning::One-Hot Encoding::883,,,
Deep Learning::One-Hot Encoding Quiz::884,,,
Capstone Project::Example Reports::884,4,2,28
Technical Interview Practice::Efficiency of Quick Sort::884,,,1
Deep Learning::Convert image dataset into 3D array::884,,,
Technical Interview Practice::Quick Sort Practice::885,2,,3
Capstone Project::Submitting the Project::885,12,13,60
Deep Learning::Problem 2: Verify normalized images::885,,,
Deep Learning::Cross Entropy::885,,,
Udacity Professional Profile Review::Introduction::886,1,,1
Deep Learning::Problem 3: Verify data is balanced::886,,,
Technical Interview Practice::Introduction to Maps::886,,,
Deep Learning::Minimizing Cross Entropy::886,,,
Deep Learning::Splitting the dataset into batches::887,,,
Deep Learning::Transition into Practical Aspects of Learning::887,,,
Udacity Professional Profile Review::Udacity Talent Source::887,,,2
Technical Interview Practice::Sets and Maps::887,,,
Deep Learning::Numerical Stability::888,,,
Technical Interview Practice::Python Dictionaries::888,,,
Deep Learning::Problem 4: Shuffle samples and verify::888,,,
Udacity Professional Profile Review::Getting Started::888,,,1
Technical Interview Practice::Introduction to Hashing::889,,,
Udacity Professional Profile Review::Customizing Your Profile::889,,,
Deep Learning::Normalized Inputs and Initial Weights::889,,,1
Deep Learning::Problem 5: Find overlapping samples::889,,,
Udacity Professional Profile Review::Top Section::890,1,,1
Deep Learning::Lather. Rinse. Repeat.::890,,,
Technical Interview Practice::Hashing::890,,,
Deep Learning::Problem 6: Train a simple ML model::890,,1,1
Udacity Professional Profile Review::Recruitment Data::891,,,
Technical Interview Practice::Collisions::891,,,
Deep Learning::Assignment 1: notMNIST::891,,,1
Deep Learning::Intro to Deep Neural Networks::891,,,
Udacity Professional Profile Review::Skills::892,,,
Technical Interview Practice::Load Factor::892,,,1
Deep Learning::Measuring Performance::892,,,
Deep Learning::Number of Parameters::892,,,
Technical Interview Practice::Hash Maps::893,,,
Udacity Professional Profile Review::Projects::893,,,1
Deep Learning::Transition: Overfitting -> Dataset Size::893,,,
Deep Learning::Linear Models are Limited::893,,,
Udacity Professional Profile Review::Experience::894,,1,6
Technical Interview Practice::String Keys::894,,1,
Deep Learning::Rectified Linear Units::894,,,
Deep Learning::Kaggle Challenge - Higgs Boson Machine Learning Challenge::894,,,
Technical Interview Practice::String Keys Practice::895,,,
Technical Interview Practice::Course Introduction::895,6,,1
Deep Learning::Network of ReLUs::895,,,
Deep Learning::Validation and Test Set Size::895,,,
Technical Interview Practice::Trees::896,1,,
Technical Interview Practice::Course Outline::896,,,
Deep Learning::No Neurons::896,,,
Deep Learning::Validation Set Size::896,,,
Deep Learning::2-Layer Neural Network::897,,,
Technical Interview Practice::Course Expectations::897,,,
Deep Learning::Validation Test Set Size Continued::897,,,
Technical Interview Practice::Tree Basics::897,,1,1
Deep Learning::Optimizing a Logistic Classifier::898,,,
Technical Interview Practice::Syntax::898,,,
Deep Learning::The Chain Rule::898,,,
Technical Interview Practice::Tree Terminology::898,,1,
Deep Learning::Stochastic Gradient Descent::899,,,
Technical Interview Practice::Tree Practice::899,,,
Technical Interview Practice::Python Practice::899,3,,3
Deep Learning::Backprop::899,,,
Technical Interview Practice::Tree Traversal::900,,,
Deep Learning::Momentum and Learning Rate Decay::900,1,,
Technical Interview Practice::Efficiency::900,1,1,1
Deep Learning::Assignment 2: SGD::900,,,
Deep Learning::Training a Deep Learning Network::901,,,
Deep Learning::Parameter Hyperspace! ::901,,,
Technical Interview Practice::Depth-First Traversals::901,,,
Technical Interview Practice::Notation Intro::901,,,1
Technical Interview Practice::Notation Continued::902,,,
Technical Interview Practice::Tree Traversal Practice::902,,,
Deep Learning::Regularization Intro::902,,,
Deep Learning::Assignment 1: notMNIST::902,,,1
Deep Learning::Getting Started with notMNIST::903,,,
Technical Interview Practice::Worst Case and Approximation::903,,,
Technical Interview Practice::Search and Delete::903,,,
Deep Learning::Regularization::903,,,
Technical Interview Practice::Efficiency Practice::904,1,1,
Technical Interview Practice::Insert::904,,,
Deep Learning::Regularization Quiz::904,,,
Deep Learning::Problem 1: Display some images::904,,,
Technical Interview Practice::Welcome to Collections::905,1,,
Deep Learning::Dropout::905,,,
Technical Interview Practice::Binary Tree Practice::905,,,
Deep Learning::Convert image dataset into 3D array::905,,,
Technical Interview Practice::Lists::906,1,,
Deep Learning::Dropout Pt. 2::906,,,
Deep Learning::Problem 2: Verify normalized images::906,,,
Technical Interview Practice::Binary Search Trees::906,,,
Technical Interview Practice::BSTs::907,,,
Deep Learning::Problem 3: Verify data is balanced::907,,,
Deep Learning::Next Assignment: Regularization::907,,,
Technical Interview Practice::Arrays::907,,,
Deep Learning::Splitting the dataset into batches::908,,,
Deep Learning::Assignment 3: Regularization::908,,,
Technical Interview Practice::BST Complications::908,,,
Technical Interview Practice::Python Lists::908,,,
Technical Interview Practice::BST Practice::909,1,,1
Deep Learning::Intro To CNNs::909,,,1
Deep Learning::Problem 4: Shuffle samples and verify::909,,,
Technical Interview Practice::Linked Lists::909,,,
Technical Interview Practice::Linked Lists in Depth::910,1,,
Technical Interview Practice::Heaps::910,,,
Deep Learning::Color::910,,,
Deep Learning::Problem 5: Find overlapping samples::910,,,
Technical Interview Practice::Heapify::911,,,
Deep Learning::Statistical Invariance::911,,,
Technical Interview Practice::Linked List Practice::911,,1,3
Deep Learning::Problem 6: Train a simple ML model::911,,1,1
Deep Learning::Convolutional Networks::912,,,
Technical Interview Practice::Stacks::912,,,
Deep Learning::Intro to Deep Neural Networks::912,,,
Technical Interview Practice::Heap Implementation::912,,,
Technical Interview Practice::Stacks Details::913,,,
Deep Learning::Feature Map Sizes::913,,,
Deep Learning::Number of Parameters::913,,,
Technical Interview Practice::Self-Balancing Trees::913,,,
Deep Learning::Convolutions continued::914,,,
Deep Learning::Linear Models are Limited::914,,,
Technical Interview Practice::Red-Black Trees - Insertion::914,,,
Technical Interview Practice::Stack Practice::914,,,1
Deep Learning::Rectified Linear Units::915,,,
Technical Interview Practice::Tree Rotations::915,,,
Deep Learning::Explore The Design Space::915,,,
Technical Interview Practice::Queues::915,,,1
Deep Learning::1x1 Convolutions::916,1,,
Deep Learning::Network of ReLUs::916,,,
Technical Interview Practice::Graph Introduction::916,,,
Technical Interview Practice::Queue Practice::916,,,
Deep Learning::Inception Module::917,,,
Deep Learning::No Neurons::917,,,
Technical Interview Practice::Binary Search::917,4,1,
Technical Interview Practice::What Is a Graph?::917,,,
Deep Learning::2-Layer Neural Network::918,,,
Technical Interview Practice::Directions and Cycles::918,,,
Technical Interview Practice::Efficiency of Binary Search::918,,,
Deep Learning::Conclusion::918,,,
Technical Interview Practice::Binary Search Practice::919,,,2
Deep Learning::Readings::919,,,1
Deep Learning::The Chain Rule::919,,,
Technical Interview Practice::Connectivity::919,,,
Technical Interview Practice::Recursion::920,,,1
Deep Learning::Backprop::920,,,
Deep Learning::Next Assignment: ConvNets::920,,,
Technical Interview Practice::Graph Practice::920,,,
Technical Interview Practice::Recursion Practice::921,,,
Deep Learning::Assignment 2: SGD::921,,,
Technical Interview Practice::Graph Representations::921,,,1
Deep Learning::Assignment 4: Convolutional Models::921,,,
Technical Interview Practice::Intro to Sorting::922,1,,
Deep Learning::Training a Deep Learning Network::922,,,
Technical Interview Practice::Adjacency Matrices::922,,,
Deep Learning::Train a text embedding model::922,,,
Technical Interview Practice::Bubble Sort::923,,,
Technical Interview Practice::Graph Representation Practice::923,,,1
Deep Learning::Semantic Ambiguity::923,,,1
Deep Learning::Regularization Intro::923,,,
Deep Learning::Regularization::924,,,
Technical Interview Practice::Efficiency of Bubble Sort::924,,,
Technical Interview Practice::Graph Traversal::924,,,1
Deep Learning::Unsupervised Learning::924,,,
Technical Interview Practice::Bubble Sort Practice::925,,,1
Technical Interview Practice::DFS::925,,,1
Deep Learning::Regularization Quiz::925,,,
Deep Learning::Embeddings::925,,,
Technical Interview Practice::BFS::926,,,
Deep Learning::Word2Vec::926,,,
Deep Learning::Dropout::926,,,
Technical Interview Practice::Merge Sort::926,,,
Technical Interview Practice::Efficiency of Merge Sort::927,,,
Deep Learning::Dropout Pt. 2::927,,,
Technical Interview Practice::Graph Traversal Practice::927,,,1
Deep Learning::tSNE::927,,,
Deep Learning::Word2Vec Details::928,,,
Technical Interview Practice::Eulerian Path::928,1,,
Deep Learning::Next Assignment: Regularization::928,,,
Technical Interview Practice::Merge Sort Practice::928,,,
Technical Interview Practice::Quick Sort::929,,,1
Technical Interview Practice::Case Study Introduction::929,,1,
Deep Learning::Assignment 3: Regularization::929,,,
Deep Learning::Word Analogy Game::929,,,
Deep Learning::Intro To CNNs::930,,,1
Technical Interview Practice::Shortest Path Problem::930,,,
Technical Interview Practice::Efficiency of Quick Sort::930,,,1
Deep Learning::Analogies::930,,,
Technical Interview Practice::Quick Sort Practice::931,2,,3
Deep Learning::Assignment 5: Word2Vec and CBOW::931,,,
Technical Interview Practice::Dijkstra's Algorithm::931,1,,
Deep Learning::Color::931,,,
Deep Learning::Sequences of Varying Length::932,,,
Technical Interview Practice::Knapsack Problem::932,,,
Deep Learning::Statistical Invariance::932,,,
Technical Interview Practice::Introduction to Maps::932,,,
Technical Interview Practice::Sets and Maps::933,,,
Deep Learning::Convolutional Networks::933,,,
Technical Interview Practice::A Faster Algorithm::933,,,
Deep Learning::RNNs::933,,,
Technical Interview Practice::Dynamic Programming::934,,,
Deep Learning::Backprop Through time::934,,,
Technical Interview Practice::Python Dictionaries::934,,,
Deep Learning::Feature Map Sizes::934,,,
Deep Learning::Convolutions continued::935,,,
Deep Learning::Vanishing / Exploding Gradients::935,,,
Technical Interview Practice::Traveling Salesman Problem::935,,,
Technical Interview Practice::Introduction to Hashing::935,,,
Deep Learning::LSTM::936,,,
Technical Interview Practice::Exact and Approximate Algorithms::936,,,1
Deep Learning::Explore The Design Space::936,,,
Technical Interview Practice::Hashing::936,,,
Technical Interview Practice::Interview Introduction::937,1,,
Technical Interview Practice::Collisions::937,,,
Deep Learning::1x1 Convolutions::937,1,,
Deep Learning::Memory Cell::937,,,
Technical Interview Practice::Clarifying the Question::938,,,
Deep Learning::LSTM Cell::938,,,
Technical Interview Practice::Load Factor::938,,,1
Deep Learning::Inception Module::938,,,
Deep Learning::Conclusion::939,,,
Technical Interview Practice::Confirming Inputs::939,,,
Technical Interview Practice::Hash Maps::939,,,
Deep Learning::LSTM Cell 2::939,,,
Technical Interview Practice::Test Cases::940,,,
Technical Interview Practice::String Keys::940,,1,
Deep Learning::Readings::940,,,1
Deep Learning::Regularization::940,,,
Deep Learning::Beam Search::941,,,
Technical Interview Practice::String Keys Practice::941,,,
Deep Learning::Next Assignment: ConvNets::941,,,
Technical Interview Practice::Brainstorming::941,,1,
Deep Learning::Assignment 4: Convolutional Models::942,,,
Technical Interview Practice::Runtime Analysis::942,,,
Deep Learning::Assignment 6: LSTMs::942,,,
Technical Interview Practice::Trees::942,1,,
Technical Interview Practice::Tree Basics::943,,1,1
Deep Learning::Play Legos::943,,,
Technical Interview Practice::Coding::943,,,
Deep Learning::Train a text embedding model::943,,,
Technical Interview Practice::Debugging::944,1,,
Deep Learning::Captioning and Translation::944,,,
Deep Learning::Semantic Ambiguity::944,,,1
Technical Interview Practice::Tree Terminology::944,,1,
Deep Learning::Unsupervised Learning::945,,,
Technical Interview Practice::Tree Practice::945,,,
Deep Learning::Course Outro::945,,,
Technical Interview Practice::Interview Wrap-Up::945,,,1
Technical Interview Practice::Tree Traversal::946,,,
Deep Learning::Embeddings::946,,,
Deep Learning::Overview::946,2,,1
Technical Interview Practice::Time for Live Practice::946,1,,
Technical Interview Practice::Depth-First Traversals::947,,,
Technical Interview Practice::Next Steps::947,,,
Deep Learning::Software Requirements::947,1,,
Deep Learning::Word2Vec::947,,,
Deep Learning::tSNE::948,,,
Technical Interview Practice::Project Description::948,7,5,10
Technical Interview Practice::Tree Traversal Practice::948,,,
Deep Learning::Starting the Project::948,,,1
Deep Learning::Tasks::949,,,
ML Interview Practice::Updating Your Professional Profiles::949,1,,1
Technical Interview Practice::Search and Delete::949,,,
Deep Learning::Word2Vec Details::949,,,
Technical Interview Practice::Insert::950,,,
Deep Learning::Submitting the Project::950,1,,1
Deep Learning::Word Analogy Game::950,,,
ML Interview Practice::Online Presence Quiz::950,,,1
Technical Interview Practice::Binary Tree Practice::951,,,
Deep Learning::Analogies::951,,,
Machine Learning Specializations::Specializations::951,1,,3
ML Interview Practice::Understand Your Career Interests::951,1,,
ML Interview Practice::Features of the Job You Want::952,2,,
Machine Learning Specializations::Specializations: What You'll Watch::952,,,
Technical Interview Practice::Binary Search Trees::952,,,
Deep Learning::Assignment 5: Word2Vec and CBOW::952,,,
Deep Learning::Sequences of Varying Length::953,,,
ML Interview Practice::Role::953,,,
Machine Learning Specializations::Specializations: What You'll Do::953,3,2,4
Technical Interview Practice::BSTs::953,,,
Machine Learning Specializations::Specializations: Before You Begin::954,1,2,24
Deep Learning::RNNs::954,,,
ML Interview Practice::Other Job Features::954,,,
Technical Interview Practice::BST Complications::954,,,
Technical Interview Practice::BST Practice::955,1,,1
Deep Learning::Backprop Through time::955,,,
ML Interview Practice::Finding Jobs Online::955,1,,1
Capstone Proposal::Overview::955,2,1,11
Deep Learning::Vanishing / Exploding Gradients::956,,,
ML Interview Practice::Using Your Personal Network to Find Jobs::956,,,
Technical Interview Practice::Heaps::956,,,
Capstone Proposal::Description::956,1,1,17
Technical Interview Practice::Heapify::957,,,
ML Interview Practice::Identifying Job Positions::957,1,,
Deep Learning::LSTM::957,,,
Capstone Proposal::Software and Data Requirements::957,,,4
Deep Learning::Memory Cell::958,,,
ML Interview Practice::Writing a Cover Letter::958,,,
Technical Interview Practice::Heap Implementation::958,,,
Capstone Proposal::Proposal Guidelines::958,,,19
Capstone Proposal::Submitting the Project::959,1,1,40
ML Interview Practice::Customizing Your Resume::959,1,,
Deep Learning::LSTM Cell::959,,,
Technical Interview Practice::Self-Balancing Trees::959,,,
Technical Interview Practice::Red-Black Trees - Insertion::960,,,
Capstone Project::Overview::960,2,5,7
ML Interview Practice::Applying to Companies::960,,,
Deep Learning::LSTM Cell 2::960,,,
Technical Interview Practice::Tree Rotations::961,,,
Capstone Project::Description::961,7,21,57
Deep Learning::Regularization::961,,,
ML Interview Practice::Applying to Companies Practice::961,1,,1
Capstone Project::Software and Data Requirements::962,2,,8
Technical Interview Practice::Graph Introduction::962,,,
ML Interview Practice::Online Presence is Ready::962,,,1
Deep Learning::Beam Search::962,,,
ML Interview Practice::Research Where You Will Interview::963,1,1,1
Capstone Project::Report Guidelines::963,3,2,23
Deep Learning::Assignment 6: LSTMs::963,,,
Technical Interview Practice::What Is a Graph?::963,,,
ML Interview Practice::Company Research #2::964,,,
Technical Interview Practice::Directions and Cycles::964,,,
Capstone Project::Example Reports::964,4,2,28
Deep Learning::Play Legos::964,,,
Deep Learning::Captioning and Translation::965,,,
Technical Interview Practice::Connectivity::965,,,
Capstone Project::Submitting the Project::965,12,13,60
ML Interview Practice::Company Research #3::965,,,
ML Interview Practice::Behavioral Questions::966,,,
Udacity Professional Profile Review::Introduction::966,1,,1
Deep Learning::Course Outro::966,,,
Technical Interview Practice::Graph Practice::966,,,
Deep Learning::Overview::967,2,,1
Udacity Professional Profile Review::Udacity Talent Source::967,,,2
ML Interview Practice::Reflecting on Previous Experiences::967,,,
Technical Interview Practice::Graph Representations::967,,,1
Udacity Professional Profile Review::Getting Started::968,,,1
ML Interview Practice::Tone of Voice::968,,,
Technical Interview Practice::Adjacency Matrices::968,,,
Deep Learning::Software Requirements::968,1,,
ML Interview Practice::Behavioral Question: Handling Conflict::969,,,
Udacity Professional Profile Review::Customizing Your Profile::969,,,
Deep Learning::Starting the Project::969,,,1
Technical Interview Practice::Graph Representation Practice::969,,,1
Udacity Professional Profile Review::Top Section::970,1,,1
Technical Interview Practice::Graph Traversal::970,,,1
Deep Learning::Tasks::970,,,
ML Interview Practice::Behavioral Question: Past Projects::970,,,
Deep Learning::Submitting the Project::971,1,,1
Udacity Professional Profile Review::Recruitment Data::971,,,
ML Interview Practice::Tone of Voice for Technical Questions::971,,,
Technical Interview Practice::DFS::971,,,1
Technical Interview Practice::BFS::972,,,
Udacity Professional Profile Review::Skills::972,,,
ML Interview Practice::Appearance and Poise::972,,,
Machine Learning Specializations::Specializations::972,1,,3
Technical Interview Practice::Graph Traversal Practice::973,,,1
ML Interview Practice::Gathering Technical Questions::973,,,
Machine Learning Specializations::Specializations: What You'll Watch::973,,,
Udacity Professional Profile Review::Projects::973,,,1
Udacity Professional Profile Review::Experience::974,,1,6
Machine Learning Specializations::Specializations: What You'll Do::974,3,2,4
"ML Interview Practice::Getting ""Unstuck"" In Technical Questions::974",,,
Technical Interview Practice::Eulerian Path::974,1,,
ML Interview Practice::Suggestions for Phone Interviews::975,,,
Technical Interview Practice::Course Introduction::975,6,,1
Machine Learning Specializations::Specializations: Before You Begin::975,1,2,24
Technical Interview Practice::Case Study Introduction::975,,1,
Capstone Proposal::Overview::976,2,1,11
Technical Interview Practice::Course Outline::976,,,
Technical Interview Practice::Shortest Path Problem::976,,,
ML Interview Practice::Suggestions for In-Person Interviews::976,,,
ML Interview Practice::Planning the Day of the Interview::977,,,
Technical Interview Practice::Course Expectations::977,,,
Technical Interview Practice::Dijkstra's Algorithm::977,1,,
Capstone Proposal::Description::977,1,1,17
Technical Interview Practice::Syntax::978,,,
ML Interview Practice::Practice Makes Perfect!::978,,,1
Technical Interview Practice::Knapsack Problem::978,,,
Capstone Proposal::Software and Data Requirements::978,,,4
Capstone Proposal::Proposal Guidelines::979,,,19
ML Interview Practice::Self Practice: Behavioral Questions::979,,,
Technical Interview Practice::A Faster Algorithm::979,,,
Technical Interview Practice::Python Practice::979,3,,3
Technical Interview Practice::Efficiency::980,1,1,1
Technical Interview Practice::Dynamic Programming::980,,,
Capstone Proposal::Submitting the Project::980,1,1,40
ML Interview Practice::Peer Practice: Behavioral Questions::980,,,
Capstone Project::Overview::981,2,5,7
Technical Interview Practice::Traveling Salesman Problem::981,,,
ML Interview Practice::Analyzing Behavioral Answers::981,,,
Technical Interview Practice::Notation Intro::981,,,1
Capstone Project::Description::982,7,21,57
ML Interview Practice::Time When You Showed Initiative?::982,,,
Technical Interview Practice::Exact and Approximate Algorithms::982,,,1
Technical Interview Practice::Notation Continued::982,,,
Technical Interview Practice::Interview Introduction::983,1,,
Technical Interview Practice::Worst Case and Approximation::983,,,
Capstone Project::Software and Data Requirements::983,2,,8
ML Interview Practice::What Motivates You at the Workplace?::983,,,
Capstone Project::Report Guidelines::984,3,2,23
ML Interview Practice::A Problem and How You've Dealt With It?::984,,,
Technical Interview Practice::Clarifying the Question::984,,,
Technical Interview Practice::Efficiency Practice::984,1,1,
Technical Interview Practice::Confirming Inputs::985,,,
Capstone Project::Example Reports::985,4,2,28
Technical Interview Practice::Welcome to Collections::985,1,,
ML Interview Practice::What Do You Know About the Company?::985,,,
Capstone Project::Submitting the Project::986,12,13,60
Technical Interview Practice::Test Cases::986,,,
Technical Interview Practice::Lists::986,1,,
ML Interview Practice::Time When You Dealt With Failure?::986,,,
Technical Interview Practice::Brainstorming::987,,1,
ML Interview Practice::Analyzing an Interview::987,,,2
Udacity Professional Profile Review::Introduction::987,1,,1
Technical Interview Practice::Arrays::987,,,
ML Interview Practice::Machine Learning Interview::988,2,2,3
Udacity Professional Profile Review::Udacity Talent Source::988,,,2
Technical Interview Practice::Runtime Analysis::988,,,
Technical Interview Practice::Python Lists::988,,,
Technical Interview Practice::Linked Lists::989,,,
ML Interview Practice::Mindset and Skills::989,,,
Technical Interview Practice::Coding::989,,,
Udacity Professional Profile Review::Getting Started::989,,,1
ML Interview Practice::Analyzing an Interview::990,,,2
Technical Interview Practice::Linked Lists in Depth::990,1,,
Technical Interview Practice::Debugging::990,1,,
Udacity Professional Profile Review::Customizing Your Profile::990,,,
Udacity Professional Profile Review::Top Section::991,1,,1
ML Interview Practice::Q1 - Predict Rain::991,,3,1
Technical Interview Practice::Linked List Practice::991,,1,3
Technical Interview Practice::Interview Wrap-Up::991,,,1
Technical Interview Practice::Time for Live Practice::992,1,,
Udacity Professional Profile Review::Recruitment Data::992,,,
Technical Interview Practice::Stacks::992,,,
ML Interview Practice::Q2 - Identify Fish::992,2,,3
